timestamp,open,high,low,close,volume,EMA_10,EMA_50,EMA_200,Dist_EMA10,Dist_EMA50,Dist_EMA200,EMA_10_50_Ratio,MACD,MACD_signal,MACD_hist,BB_width,BB_pct,Volume_Delta,Return,Prev_Return,Rolling_Vol_20,Hour_sin,Hour_cos,DOW_sin,DOW_cos,Is_London,Is_NY,4h_EMA_200,4h_Dist_EMA200,1d_EMA_200,1d_Dist_EMA200,DXY,VIX
2025-10-19,4242.81,4249.26,4242.81,4244.67,56.1686,4246.681463832314,4249.148987253542,4262.354848681431,-0.00047365545295660036,-0.0010540904230418825,-0.00414907939607643,0.9994192899734441,-1.9298947681390928,-0.7937933387504739,-1.136101429388619,0.00785429949712599,0.28909528460011436,8.422999999999995,0.00043838870936951935,-5.6563085516270206e-05,0.0009629657345997388,0.0,1.0,-0.7818314824680299,0.6234898018587334,0,0,3942.6036955039117,0.07614417468294864,3513.4948129099002,0.2074758113806253,100.0,20.0
2025-10-20,4242.34,4242.34,4221.0,4222.67,147.7522,4242.170949690675,4241.709532352074,4250.012399031495,-0.004596926885300789,-0.004488645959101458,-0.00643348688529141,1.0001087809844313,0.5063112220932453,1.7862542321926904,-1.279943010099445,0.00905732211943974,0.01255587753311519,90.35719999999998,-0.0046647463971375425,-0.0013934723353372647,0.0017888982542929273,0.0,1.0,0.0,1.0,0,0,3960.1269192420923,0.07592006187908944,3521.9584466122897,0.23910888392159826,100.0,20.0
2025-10-21,4363.81,4368.58,4362.0,4363.79,66.7229,4367.278797494281,4343.359244256662,4289.355984605821,-0.0007988492734384017,0.004703906491353147,0.017353191402466363,1.0055071551516832,5.6992949273017075,8.69007586350499,-2.990780936203283,0.006058642815915845,0.264639446859917,10.429799999999993,-6.874285360758403e-05,-8.248462005511215e-05,0.001640584677573726,0.0,1.0,0.7818314824680298,0.6234898018587336,0,0,3981.6454799067533,0.09448719681141904,3527.6932879395304,0.1617534931427551,100.0,20.0
2025-10-22,4098.82,4098.82,4020.0,4047.34,2034.7783,4108.900623693345,4152.207643457413,4235.2958326564785,-0.014982261517439631,-0.025255876502865034,-0.04437844251804909,0.9895701218525749,-12.67650263782889,-8.556026921998022,-4.120475715830867,0.01881463097786029,-0.45984904341661326,1826.9352999999999,-0.01243683371926485,-0.0071033498642076864,0.003495875780778116,0.0,1.0,0.9749279121818236,-0.22252093395631434,0,0,3992.766494877253,0.03520453933459189,3533.30609104461,0.15805987213247044,100.0,20.0
2025-10-23,4092.05,4101.56,4087.1,4091.74,59.9886,4096.429361217403,4089.4403048115378,4145.257443953863,-0.0011447435812758444,0.0005623496168305095,-0.012910523574819706,1.001709049621691,4.029745487115633,6.618549137602502,-2.5888036504868683,0.0053226576575433225,0.11107234087251518,-44.989200000000004,-9.775696640734743e-06,-0.0005935210944235658,0.00143973491220088,0.0,1.0,0.43388373911755823,-0.900968867902419,0,0,3998.1710602409403,0.024991161772112493,3539.118567750634,0.16341397474483135,100.0,20.0
2025-10-24,4117.92,4130.21,4114.84,4126.45,117.8356,4117.47139581358,4122.090486396966,4129.485245662787,0.0021806111866493833,0.0010575977449840215,-0.0007350179216586254,0.9988794300856253,-3.214191950934037,-4.04304312368941,0.8288511727553729,0.00648450491274109,0.8391103368557002,68.93639999999999,0.002183384902342711,0.0007753501836291754,0.0014989963805583319,0.0,1.0,-0.433883739117558,-0.9009688679024191,0,0,4005.137427244322,0.02992720597808488,3544.804253643663,0.15959294389100162,100.0,20.0
2025-10-25,4110.54,4113.64,4108.88,4110.43,35.5855,4110.681157141547,4105.135635620369,4111.701524280598,-6.109866757988358e-05,0.0012896929235887483,-0.00030924527791945176,1.001350874127778,2.2048246650465444,2.1172115857450278,0.08761307930151663,0.0062794205854595515,0.6193790995483798,-1.6418999999999997,-2.432776308636253e-05,-0.0005203432320123325,0.001057749976478205,0.0,1.0,-0.9749279121818236,-0.2225209339563146,0,0,4010.4184030103274,0.024848179659975406,3550.431375497955,0.15769875975240283,100.0,20.0
2025-10-26,4110.32,4114.5,4110.0,4110.03,34.0568,4109.210138815264,4108.85907324126,4110.430062877145,0.00019951795041856307,0.0002849761303241018,-9.732871525016835e-05,1.000085441132866,0.2770916212666634,0.08094730160843189,0.19614431965823154,0.0008260854707446096,0.8799160573983547,18.340900000000005,-7.298684047274406e-05,0.0005233461046010301,0.00023305232727298942,0.0,1.0,-0.7818314824680299,0.6234898018587334,0,0,4016.1350194519523,0.022811728217381897,3555.5013120601648,0.1418811705198153,100.0,20.0
2025-10-27,4059.95,4069.28,4056.01,4067.48,189.8723,4073.7986004261606,4091.766626875037,4102.86175402374,-0.0015510340706336436,-0.005935486817728257,-0.008623676873596985,0.995608736253221,-9.129965339181581,-6.0576663405332285,-3.0722989986483524,0.01392696559523051,0.1623491130506082,36.764399999999995,0.0018522349973890684,-0.0001970074567322344,0.0012194128615552408,0.0,1.0,0.0,1.0,0,0,4020.2931075808756,0.011535699308011594,3559.846572636681,0.1214528262781524,100.0,20.0
2025-10-28,3992.19,3992.59,3980.53,3981.01,139.0441,3984.2427972361256,3997.5499214435945,4049.555697896822,-0.0008113956404383795,-0.004137514669890945,-0.016926720610960292,0.9966711799804958,-2.356711242156507,-4.4765754382599585,2.1198641961034514,0.005550415852800969,0.5021497106084779,69.29899999999999,-0.0028029657832773225,-0.00011020277310247462,0.0013991471136866696,0.0,1.0,0.7818314824680298,0.6234898018587336,0,0,4019.4472988924526,-0.007301326951230158,3563.9113828592012,0.11348447637783966,100.0,20.0
